;commentor_id_new;course_id_new;content;mark;modify_timestamp
0;4095;757;讲得生动形象;5.0;1515682004636
1;4623;757;修身治国平天下。;5.0;1517879053151
2;11510;757;希望这种课程多点，就是不要安排的太密了;5.0;1517879423727
3;3432;757;非常欣赏老师讲课的态度，如行云流水，在获取知识的同时，也得到了语言上的享受。;5.0;1518061917542
4;13541;757;寓教于乐，感谢老师精彩讲解;5.0;1521968919818
5;10644;757;"学到了很多有用的知识
自己受益终身";3.0;1518331603977
6;4506;757;棒！棒棒！！棒棒棒棒！！！！;5.0;1519265043428
7;5639;757;"长青的国学
";4.0;1519399360444
8;9355;757;很好很不错;5.0;1519520447896
9;3502;757;虽没能好好坚持学习，但没一节课都收获很大;5.0;1519559221944
10;13273;757;通过老师的讲解对孔子有了进一步的了解，老师讲的非常好引经据典，深入浅出。;5.0;1523931640646
11;9083;757;个人只是简单的学习了一些孔子的事迹，了解了下孔子，个人还是没能领会真正的孔子精神，领会学习的真谛。;5.0;1519992922142
12;7265;757;讲解很生动，对于了解和学习《论语》很有帮助！;5.0;1520384451223
13;2096;757;把孔子当做普通人来讲;5.0;1522487644929
14;6842;757;知识增加了;5.0;1521601628143
15;7681;757;内容非常好;5.0;1521679222688
16;6841;757;提高了学问;5.0;1521601768648
17;12468;757;增加了学问;5.0;1521601905212
18;13635;757;女性讲论语自有女性独特的角度，值得听;5.0;1522626369690
19;12331;757;听了刘老师精彩的讲解，我很受益，让我对古圣先贤孔子有了新的认识和了解。感恩老师！;3.0;1522290938865
20;3720;757;课程的内容和老师讲授的方法很好，很喜欢这门课。;5.0;1522391544275
21;11527;757;很精彩，一直坚持学，能开阔视野;4.0;1522465496460
22;13565;757;"老师讲的非常好，学习时间也可以自己掌握，给在职人员提供了很好的学习途径。
不知老师的讲义在哪里能找到，讲义是课后复习的主要依据。";4.0;1522722442687
23;19231;757;使我对孔子，以及我国的传统文化有了进一步的认识。;5.0;1523170253857
24;7020;757;挺好的课啊;5.0;1522738152913
25;171;757;课程内容新颖，有深度，易理解，通过学习，对孔子的思想有了更深的了解和理解。《论语》需要熟读，更需要实践。;5.0;1522891753221
26;2485;757;课程非常棒！;5.0;1522935044763
27;12943;757;老师讲的很好，课堂有趣，很容易接受知识。;5.0;1523033264386
28;4848;757;"很喜欢这门课，感觉对孔子有了更深的认识，喜欢听老师讲课
";5.0;1522981113265
29;3746;757;学习此课程简直是一种享受;5.0;1523067694386
30;6875;757;授课开阔了视野。;5.0;1524038433156
31;20286;757;很不错啊啊;5.0;1523283888923
32;4614;757;学习就有收获——似乎孔子的面貌越来越清晰了。;5.0;1523334791324
33;6932;757;非常受益匪浅。;5.0;1523414452093
34;20081;757;对孔子有了进一步的认识。;5.0;1523503186793
35;17632;757;收获颇丰，反思教学。学习方式方法，学以致用;5.0;1523579088798
36;6870;757;更为详细了解了孔子的生平与教学理念。;5.0;1523709829863
37;17791;757;作为学习者，首先非常感谢刘冬颖教授团队《论语》作出的巨大贡献。对课程而言，结构设置合理，从孔子的出生、经历、对人生的修炼逐步展开，有理有据；就授课方式，节奏舒缓，仿佛身临其境，穿越到过去；就目前学习过得课程内容而言，还是希望老师能在讨论区抛出自己对一些问题的观点。;5.0;1523690146826
38;4138;757;广授益，弥补少时文化修为不足。;4.0;1523755281995
